Site,Date,device_number,PM25_EPA_FRM_table,PM25_EPA_FRM_src,PM25_CinC_table,PM25_CinC_src
0034,2024-11-02,11,2.9,2.9,3.7922432432432434,3.7922432432432434
0034,2025-01-28,2,5.2,5.2,3.6847222222222222,3.6847222222222222
0034,2025-05-01,3,6.8,6.8,4.140808510638299,4.140808510638299
0038,2024-11-05,7,6.4,6.4,3.7235714285714288,3.7235714285714288
0038,2025-02-03,28,17.5,17.5,47.26081132075472,47.26081132075472
0038,2025-05-01,7,9.85,9.85,6.4491764705882355,6.4491764705882355
0045,2024-11-02,19,1.5,1.5,4.037333333333333,4.037333333333333
0045,2025-01-22,19,8,8,3.433090909090909,3.433090909090909
0045,2025-05-01,25,6.3,6.3,6.557230769230769,6.557230769230769
0060,2024-11-02,13,4.7,4.7,3.4165869565217393,3.4165869565217393
0060,2025-01-16,9,18.2,18.2,13.212979591836735,13.212979591836735
0060,2025-05-01,27,9.2,9.2,5.422342105263158,5.422342105263158
0065,2024-11-02,8,8.7,8.7,3.749705882352941,3.749705882352941
0065,2025-01-16,1,18.9,18.9,17.558833333333332,17.558833333333332
0065,2025-05-01,8,9.2,9.2,6.010294117647058,6.010294117647058
0073,2024-11-08,23,5.3,5.3,10.417566037735849,10.417566037735849
0073,2025-02-03,23,13.1,13.1,43.160901960784315,43.160901960784315
0073,2025-05-01,23,6.2,6.2,4.427433962264151,4.427433962264151
