device_eui,location_name,latitude,longitude,device_number,device_status,time,pm_2.5,pm_10.0,humidity,temperature_c,co2_ppm
0004A30B00081BFE,Nottingham Water,41.575635,-81.541699,3,Active,2025-05-31 20:30:00.000000000,1.765,1.765,55.0,16.9,NA
0004A30B00084CF2,Forest City/East 46th Street,41.46274,-81.65997,5,Active,2025-05-31 20:30:00.000000000,0.768,0.768,50.0,15.9,417.0
0004A30B000838E4,East 56th Street and Ferro Avenue,41.446336,-81.650709,8,Active,2025-05-31 20:30:00.000000000,2.482,3.253,NA,NA,NA
0004A30B00085A7A,Lakeview Terrace Community Center,41.49409,-81.70976,12,Active,2025-05-31 20:30:00.000000000,3.144,3.144,49.0,17.3,456.0
0004A30B000885BF,Fairfax Recreation Center,41.49537,-81.63033,14,Active,2025-05-31 20:30:00.000000000,1.281,1.987,31.0,24.8,443.0
0004A30B00085FFB,Coit Road and East 131st Street,41.552492,-81.591944,15,Active,2025-05-31 20:30:00.000000000,1.685,2.068,49.0,16.5,405.0
0004A30B00087263,GT Craig Monitoring Site Collocated Sensor,41.49212,-81.67856,17,Active,2025-05-31 20:30:00.000000000,1.477,1.477,50.0,16.1,411.0
0004A30B000838D0,Alexander Hamilton Recreation Center,41.46491,-81.59068,19,Active,2025-05-31 20:30:00.000000000,1.599,1.599,NA,NA,NA
0004A30B00085575,Buckeye Rd. and East 89th St,41.486323,-81.624582,21,Active,2025-05-31 20:30:00.000000000,2.376,2.376,51.0,15.3,443.0
0004A30B00082194,Estabrook Recreation Center,41.44404,-81.72271,22,Active,2025-05-31 20:30:00.000000000,0.699,0.699,53.0,14.3,418.0
0004A30B000818DE,Lee/Harvard,41.449672,-81.564,23,Active,2025-05-31 20:30:00.000000000,74.416,83.977,0.0,18.4,468.0
0004A30B000824D7,East 152nd and Darwin,41.564906,-81.579597,24,Active,2025-05-31 20:30:00.000000000,1.127,1.127,38.0,23.9,425.0
0004A30B00085FFF,Cudell Recreation Center,41.47918,-81.75257,26,Active,2025-05-31 20:30:00.000000000,3.257,5.078,43.0,19.2,416.0
0004A30B00082B18,Gunning Recreation Center,41.43498,-81.81362,29,Active,2025-05-31 20:30:00.000000000,1.571,2.606,48.0,17.4,434.0
0004A30B00081BFE,Nottingham Water,41.575635,-81.541699,3,Active,2025-05-31 20:00:00.000000000,1.803,2.172,51.0,17.2,NA
0004A30B00084CF2,Forest City/East 46th Street,41.46274,-81.65997,5,Active,2025-05-31 20:00:00.000000000,6.627,7.586,52.0,16.1,417.0
0004A30B00084474,St. Theodosius Monitoring Site Collocated Sensor,41.476985,-81.682376,7,Active,2025-05-31 20:00:00.000000000,1.891,1.891,NA,NA,NA
0004A30B000838E4,East 56th Street and Ferro Avenue,41.446336,-81.650709,8,Active,2025-05-31 20:00:00.000000000,1.633,2.08,NA,NA,NA
0004A30B00086587,East 166th St. and St. Clair Ave.,41.56206,-81.564009,11,Active,2025-05-31 20:00:00.000000000,NA,NA,35.0,22.9,552.0
0004A30B00085A7A,Lakeview Terrace Community Center,41.49409,-81.70976,12,Active,2025-05-31 20:00:00.000000000,2.049,2.049,51.0,16.7,449.0
0004A30B000885BF,Fairfax Recreation Center,41.49537,-81.63033,14,Active,2025-05-31 20:00:00.000000000,0.923,0.923,38.0,21.5,444.0
0004A30B00085FFB,Coit Road and East 131st Street,41.552492,-81.591944,15,Active,2025-05-31 20:00:00.000000000,2.114,2.114,45.0,19.5,416.0
0004A30B00087263,GT Craig Monitoring Site Collocated Sensor,41.49212,-81.67856,17,Active,2025-05-31 20:00:00.000000000,1.45,1.45,51.0,16.0,411.0
0004A30B000838D0,Alexander Hamilton Recreation Center,41.46491,-81.59068,19,Active,2025-05-31 20:00:00.000000000,3.236,3.236,47.0,16.4,534.0
0004A30B00085575,Buckeye Rd. and East 89th St,41.486323,-81.624582,21,Active,2025-05-31 20:00:00.000000000,3.563,3.563,56.0,14.9,442.0
0004A30B00082194,Estabrook Recreation Center,41.44404,-81.72271,22,Active,2025-05-31 20:00:00.000000000,0.87,0.87,49.0,14.9,418.0
0004A30B000818DE,Lee/Harvard,41.449672,-81.564,23,Active,2025-05-31 20:00:00.000000000,4.884,5.002,0.0,18.5,444.0
0004A30B000824D7,East 152nd and Darwin,41.564906,-81.579597,24,Active,2025-05-31 20:00:00.000000000,2.107,2.107,50.0,18.8,443.0
0004A30B00085131,Bessemer by Tremco,41.46717,-81.63003,25,Active,2025-05-31 20:00:00.000000000,0.931,1.084,NA,NA,NA
0004A30B00085FFF,Cudell Recreation Center,41.47918,-81.75257,26,Active,2025-05-31 20:00:00.000000000,2.331,3.049,44.0,18.4,415.0
0004A30B00080E82,East 30th and Perkins,41.50541,-81.66791,27,Active,2025-05-31 20:00:00.000000000,NA,NA,46.0,18.2,451.0
0004A30B00082B18,Gunning Recreation Center,41.43498,-81.81362,29,Active,2025-05-31 20:00:00.000000000,0.786,0.934,45.0,17.4,435.0
