station,station_name,valid(UTC),tmpf,dwpf,sknt,drct,ptype,precip
CLE,CLEVELAND,2024-06-01 00:00,68,42,6,359,?0,0.0
CLE,CLEVELAND,2024-06-01 00:01,68,42,6,3,?0,0.0
CLE,CLEVELAND,2024-06-01 00:02,68,42,5,3,?0,0.0
CLE,CLEVELAND,2024-06-01 00:03,68,42,5,4,?0,0.0
CLE,CLEVELAND,2024-06-01 00:04,67,42,5,4,?0,0.0
CLE,CLEVELAND,2024-06-01 00:05,67,43,5,3,?0,0.0
CLE,CLEVELAND,2024-06-01 00:06,67,43,5,7,?0,0.0
CLE,CLEVELAND,2024-06-01 00:07,67,43,5,10,?0,0.0
CLE,CLEVELAND,2024-06-01 00:08,67,43,6,11,?0,0.0
CLE,CLEVELAND,2024-06-01 00:09,67,43,6,10,?0,0.0
CLE,CLEVELAND,2024-06-01 00:10,66,42,6,8,?0,0.0
CLE,CLEVELAND,2024-06-01 00:11,66,42,6,7,?0,0.0
CLE,CLEVELAND,2024-06-01 00:12,66,42,6,5,?0,0.0
CLE,CLEVELAND,2024-06-01 00:13,66,42,6,3,?0,0.0
CLE,CLEVELAND,2024-06-01 00:14,66,42,6,4,?0,0.0
CLE,CLEVELAND,2024-06-01 00:15,66,42,6,4,?0,0.0
CLE,CLEVELAND,2024-06-01 00:16,66,42,6,4,?0,0.0
CLE,CLEVELAND,2024-06-01 00:17,66,42,6,5,?0,0.0
CLE,CLEVELAND,2024-06-01 00:18,65,42,7,6,?0,0.0
CLE,CLEVELAND,2024-06-01 00:19,65,42,7,7,?0,0.0
CLE,CLEVELAND,2024-06-01 00:20,66,42,6,7,?0,0.0
CLE,CLEVELAND,2024-06-01 00:21,66,42,6,7,?0,0.0
CLE,CLEVELAND,2024-06-01 00:22,65,42,6,9,?0,0.0
CLE,CLEVELAND,2024-06-01 00:23,65,42,6,11,?0,0.0
CLE,CLEVELAND,2024-06-01 00:24,65,43,6,14,?0,0.0
CLE,CLEVELAND,2024-06-01 00:25,65,42,5,15,?0,0.0
