Site,Date,device_number,PM25_EPA_FEM,PM25_CinC
0034,2024-11-02,11,3.5125,3.7922432432432434
0034,2025-01-23,3,7.745833333333334,9.20554347826087
0034,2025-05-01,3,5.220833333333333,4.140808510638299
0038,2024-11-05,7,6.4125000000000005,3.7235714285714288
0038,2025-01-28,28,5.995652173913044,5.94464705882353
0038,2025-05-01,7,8.004166666666666,6.4491764705882355
0045,2024-11-02,19,4.695833333333334,4.037333333333333
0045,2025-01-22,19,8.604166666666666,3.433090909090909
0045,2025-05-01,25,6.308333333333334,6.557230769230769
0060,2024-11-02,13,4.45,3.4165869565217393
0060,2025-01-19,13,3.0875,3.2468301886792452
0060,2025-05-01,27,7.941666666666666,5.422342105263158
0065,2024-11-02,8,5.541666666666667,3.749705882352941
0065,2025-01-13,8,5.845833333333333,5.637166666666666
0065,2025-05-01,8,7.266666666666667,6.010294117647058
0073,2024-11-08,23,6.3875,10.417566037735849
0073,2025-01-31,23,6.745833333333334,16.556173076923077
0073,2025-05-01,23,5.2125,4.427433962264151
