Site,Date,device_number,PM25_EPA_FEM,PM25_CinC
0034,2024-11-01,11,3.120833333333333,2.865466666666667
0034,2025-01-27,2,5.1375,5.275682926829268
0034,2025-05-01,3,5.220833333333333,4.140808510638299
0038,2024-11-05,7,6.4125000000000005,3.7235714285714288
0038,2025-02-02,18,10.475,9.419381818181819
0038,2025-05-01,7,8.004166666666666,6.4491764705882355
0045,2024-11-01,19,4.375,2.9763076923076923
0045,2025-01-21,25,6.654166666666667,4.723
0045,2025-05-01,25,6.308333333333334,6.557230769230769
0060,2024-11-01,13,3.6708333333333334,1.7846666666666666
0060,2025-01-21,13,7,5.6817419354838705
0060,2025-05-01,27,7.941666666666666,5.422342105263158
0065,2024-11-01,8,3.6958333333333333,2.933357142857143
0065,2025-01-17,1,16.883333333333333,45.3379
0065,2025-05-01,8,7.266666666666667,6.010294117647058
0073,2024-11-07,23,3.9583333333333335,5.431666666666667
0073,2025-02-02,23,8.3625,8.431767857142857
0073,2025-05-01,23,5.2125,4.427433962264151
