Date,EPA_Site,PM_EPA,PM_CinC
2024-11-02,0045,1.5,4.037333333333333
2024-11-05,0045,4,5.143
2024-11-08,0045,5.5,9.412333333333333
2024-11-08,0045,5.5,9.791333333333334
2024-11-08,0045,5.5,8.76873076923077
2024-11-11,0045,3.7,6.1905
2024-11-11,0045,3.7,6.024979591836734
2024-11-11,0045,3.7,4.681846153846154
2024-11-14,0045,2.3,3.7721111111111107
2024-11-14,0045,2.3,4.579586956521739
2024-11-14,0045,2.3,16.457652173913043
2024-11-17,0045,5.6,11.10890909090909
2024-11-17,0045,5.6,9.809884615384615
2024-11-23,0045,1.2,2.929826086956522
2024-11-23,0045,1.2,2.4860408163265304
2024-11-23,0045,1.2,2.3085
2024-11-28,0045,1.8,20.2885
2024-11-28,0045,1.8,12.73870588235294
2024-11-28,0045,1.8,11.676192307692308
2024-11-29,0045,2.9,9.796444444444445
2024-11-29,0045,2.9,9.450418181818181
2024-11-29,0045,2.9,9.663923076923076
2024-12-02,0045,3.4,8.959222222222222
2024-12-02,0045,3.4,12.431860465116278
2024-12-02,0045,3.4,9.760521739130434
2024-12-05,0045,1.8,10.439777777777778
2024-12-05,0045,1.8,6.974363636363636
2024-12-05,0045,1.8,7.42025806451613
2024-12-08,0045,3.2,6.019714285714286
2024-12-08,0045,3.2,7.33609756097561
2024-12-08,0045,3.2,6.773359999999999
2024-12-11,0045,3.6,23.946
2024-12-11,0045,3.6,21.291040000000002
2024-12-11,0045,3.6,22.703576923076923
2024-12-14,0045,5.2,10.134636363636364
2024-12-14,0045,5.2,9.001617021276596
2024-12-14,0045,5.2,6.37
2024-12-17,0045,5.2,11.420111111111112
2024-12-17,0045,5.2,11.524040816326531
2024-12-17,0045,5.2,11.368777777777778
2024-12-20,0045,4.4,22.6755
2024-12-20,0045,4.4,17.63648
2024-12-20,0045,4.4,16.20408695652174
2024-12-23,0045,4,7.0725454545454545
2024-12-23,0045,4,6.552208333333334
2024-12-23,0045,4,6.970411764705882
2024-12-26,0045,5,18.677333333333333
2024-12-26,0045,5,13.6586
2024-12-26,0045,5,16.50433333333333
2024-12-29,0045,2.5,8.472285714285714
2024-12-29,0045,2.5,7.784916666666667
2024-12-29,0045,2.5,7.21348275862069
2025-01-01,0045,4.1,12.833400000000001
2025-01-01,0045,4.1,8.847480769230769
2025-01-01,0045,4.1,8.002363636363636
2025-01-04,0045,5.2,3.1896
2025-01-04,0045,5.2,2.753846153846154
2025-01-04,0045,5.2,3.0635365853658536
2025-01-07,0045,2.7,2.021916666666667
2025-01-07,0045,2.7,2.7537254901960786
2025-01-07,0045,2.7,2.6974285714285715
2025-01-10,0045,15.1,18.5875
2025-01-10,0045,15.1,15.242690909090909
2025-01-10,0045,15.1,13.412645161290323
2025-01-13,0045,5,16.224
2025-01-13,0045,5,8.748608695652173
2025-01-13,0045,5,6.19959375
2025-01-16,0045,18.2,19.732666666666667
2025-01-16,0045,18.2,18.5985
2025-01-16,0045,18.2,14.83712
2025-01-19,0045,2,1.98625
2025-01-19,0045,2,2.356866666666667
2025-01-19,0045,2,2.6648181818181818
2025-01-22,0045,8,3.433090909090909
2025-01-22,0045,8,6.0727
2025-01-22,0045,8,4.017869565217391
2025-01-25,0045,12,10.434818181818182
2025-01-25,0045,12,13.666814814814815
2025-01-25,0045,12,12.149975
2025-01-28,0045,5.2,8.7714
2025-01-28,0045,5.2,4.8455625
2025-01-28,0045,5.2,4.729916666666666
2025-01-31,0045,6.5,5.274611111111111
2025-01-31,0045,6.5,14.925333333333333
2025-02-03,0045,10.7,13.930846153846154
2025-02-03,0045,10.7,68.36316666666667
2025-02-06,0045,9.4,5.8965
2025-02-06,0045,9.4,17.115266666666667
2025-02-09,0045,10.2,14.5
2025-02-09,0045,10.2,10.265157894736841
2025-02-09,0045,10.2,14.951611111111111
2025-02-12,0045,12.8,19.0993
2025-02-12,0045,12.8,22.472324324324322
2025-02-12,0045,12.8,16.075833333333332
2025-02-15,0045,7.7,9.841857142857142
2025-02-15,0045,7.7,10.156038461538461
2025-02-15,0045,7.7,12.689777777777778
2025-02-18,0045,6.5,3.7535
2025-02-18,0045,6.5,2.8363673469387756
2025-02-18,0045,6.5,4.28505
2025-02-21,0045,6,2.9465000000000003
2025-02-21,0045,6,3.0004
2025-02-21,0045,6,3.8455263157894737
2025-02-24,0045,8.9,13.415480769230768
2025-02-24,0045,8.9,11.723852941176471
2025-02-27,0045,11.1,22.08290909090909
2025-03-02,0045,3.5,3.0809166666666665
2025-03-02,0045,3.5,3.40158
2025-03-05,0045,2.8,3.2299444444444445
2025-03-08,0045,4.3,1.2253333333333334
2025-03-08,0045,4.3,4.2664375
2025-03-11,0045,5,5.945875
2025-03-14,0045,9.7,9.126431818181818
2025-03-17,0045,6.4,3.1046585365853656
2025-03-20,0045,6.4,2.126
2025-03-20,0045,6.4,3.8906666666666667
2025-03-23,0045,4.2,4.615111111111111
2025-03-23,0045,4.2,4.612705882352941
2025-03-26,0045,4.1,3.5075000000000003
2025-03-26,0045,4.1,3.7258947368421054
2025-03-29,0045,14.8,10.215
2025-03-29,0045,14.8,11.267222222222221
2025-04-05,0045,6.8,2.7804761904761905
2025-04-05,0045,6.8,10.4558
2025-04-07,0045,7.5,7.958
2025-04-07,0045,7.5,5.389
2025-04-07,0045,7.5,9.005866666666666
2025-04-10,0045,9.2,22.83325
2025-04-10,0045,9.2,9.2913
2025-04-10,0045,9.2,28.906761904761904
2025-04-13,0045,7.1,8.877444444444444
2025-04-13,0045,7.1,7.496529411764706
2025-04-13,0045,7.1,5.384761904761905
2025-04-16,0045,6.6,3.5267
2025-04-16,0045,6.6,3.4268888888888887
2025-04-16,0045,6.6,4.835916666666667
2025-04-19,0045,12.5,11.048931818181819
2025-04-19,0045,12.5,8.573451612903225
2025-04-22,0045,6.2,1.13
2025-04-22,0045,6.2,3.082767441860465
2025-04-22,0045,6.2,4.143565217391305
2025-04-25,0045,6.4,5.72375
2025-04-25,0045,6.4,5.44254
2025-04-25,0045,6.4,8.483055555555556
2025-04-28,0045,5.5,3.3058
2025-04-28,0045,5.5,3.51558
2025-04-28,0045,5.5,9.779441176470588
2025-05-01,0045,6.3,8.964500000000001
2025-05-01,0045,6.3,4.618586956521739
2025-05-01,0045,6.3,6.557230769230769
