station,station_name,valid(UTC),tmpf,dwpf,sknt,drct,ptype,precip
CLE,CLEVELAND,2024-02-01 00:00,36,31,13,244,NP,0.0
CLE,CLEVELAND,2024-02-01 00:01,36,31,12,249,NP,0.0
CLE,CLEVELAND,2024-02-01 00:02,36,32,12,254,NP,0.0
CLE,CLEVELAND,2024-02-01 00:03,36,32,13,253,NP,0.0
CLE,CLEVELAND,2024-02-01 00:04,36,32,12,247,NP,0.0
CLE,CLEVELAND,2024-02-01 00:05,36,31,12,242,NP,0.0
CLE,CLEVELAND,2024-02-01 00:06,36,31,13,236,NP,0.0
CLE,CLEVELAND,2024-02-01 00:07,36,31,13,231,NP,0.0
CLE,CLEVELAND,2024-02-01 00:08,36,31,13,229,NP,0.0
CLE,CLEVELAND,2024-02-01 00:09,36,31,12,233,NP,0.0
CLE,CLEVELAND,2024-02-01 00:10,36,31,12,234,NP,0.0
CLE,CLEVELAND,2024-02-01 00:11,36,31,12,233,NP,0.0
CLE,CLEVELAND,2024-02-01 00:12,36,31,11,235,NP,0.0
CLE,CLEVELAND,2024-02-01 00:13,35,31,12,237,NP,0.0
CLE,CLEVELAND,2024-02-01 00:14,35,31,14,234,NP,0.0
CLE,CLEVELAND,2024-02-01 00:15,35,31,14,229,NP,0.0
CLE,CLEVELAND,2024-02-01 00:16,35,31,14,230,NP,0.0
CLE,CLEVELAND,2024-02-01 00:17,35,31,13,233,NP,0.0
CLE,CLEVELAND,2024-02-01 00:18,35,31,12,233,NP,0.0
CLE,CLEVELAND,2024-02-01 00:19,35,31,11,231,NP,0.0
CLE,CLEVELAND,2024-02-01 00:20,35,32,11,228,NP,0.0
CLE,CLEVELAND,2024-02-01 00:21,35,32,12,221,NP,0.0
CLE,CLEVELAND,2024-02-01 00:22,35,31,11,215,NP,0.0
CLE,CLEVELAND,2024-02-01 00:23,35,32,10,220,NP,0.0
CLE,CLEVELAND,2024-02-01 00:24,35,31,11,224,NP,0.0
CLE,CLEVELAND,2024-02-01 00:25,35,31,11,224,NP,0.0
CLE,CLEVELAND,2024-02-01 00:26,35,32,10,222,NP,0.0
CLE,CLEVELAND,2024-02-01 00:27,35,32,9,220,NP,0.0
CLE,CLEVELAND,2024-02-01 00:28,35,32,8,216,NP,0.0
CLE,CLEVELAND,2024-02-01 00:29,35,32,8,212,NP,0.0
CLE,CLEVELAND,2024-02-01 00:30,35,32,7,218,NP,0.0
CLE,CLEVELAND,2024-02-01 00:31,35,32,6,217,NP,0.0
CLE,CLEVELAND,2024-02-01 00:32,35,32,8,215,NP,0.0
CLE,CLEVELAND,2024-02-01 00:33,35,32,9,220,NP,0.0
CLE,CLEVELAND,2024-02-01 00:34,35,32,9,220,NP,0.0
CLE,CLEVELAND,2024-02-01 00:35,35,32,9,214,NP,0.0
CLE,CLEVELAND,2024-02-01 00:36,35,32,10,211,NP,0.0
CLE,CLEVELAND,2024-02-01 00:37,35,32,10,210,NP,0.0
CLE,CLEVELAND,2024-02-01 00:38,36,32,9,202,NP,0.0
CLE,CLEVELAND,2024-02-01 00:39,35,32,8,200,NP,0.0
CLE,CLEVELAND,2024-02-01 00:40,35,32,8,204,NP,0.0
CLE,CLEVELAND,2024-02-01 00:41,35,32,8,201,NP,0.0
CLE,CLEVELAND,2024-02-01 00:42,35,32,8,204,NP,0.0
CLE,CLEVELAND,2024-02-01 00:43,36,32,8,210,NP,0.0
CLE,CLEVELAND,2024-02-01 00:44,36,32,8,209,NP,0.0
CLE,CLEVELAND,2024-02-01 00:45,36,32,9,208,NP,0.0
CLE,CLEVELAND,2024-02-01 00:46,36,32,10,206,NP,0.0
